ts	shopping	idade	genero	freq	q01	q02	q03	q04	q05	q06	q07	q08	q09	q10	q11	q12	q13	q14	q15	q16	q17	q18	q19	q20	q21
14:57:20	AnaliaFranco	45-54	F	mais	3	3	2	Vezes	4	2	4	2	4	Vezes	2	4	Rar	Rar	3	2	3	Rar	3	2	Nunca
14:57:21	Higienopolis	25-34	M	mes	3	3	3	Vezes	2	4	2	5	2	Vezes	4	2	Vezes	Freq	5	5	4	Sempre	4	4	Rar
14:57:22	Bourbon	55-64	F	ano	3	3	2	Vezes	4	2	4	2	4	Vezes	2	4	Rar	Rar	2	2	3	Nunca	3	2	Nunca
14:57:23	Aricanduva	25-34	F	ano	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	4	4	3	Freq	4	3	Nunca
14:57:24	JKIguatemi	25-34	F	mes	3	3	3	Vezes	2	4	2	4	2	Vezes	4	2	Freq	Freq	5	5	4	Freq	5	4	Rar
14:57:25	Bourbon	45-54	M	mes	3	3	3	Vezes	1	4	1	5	1	Vezes	4	2	Vezes	Freq	5	4	4	Freq	5	5	Rar
14:57:26	LojaDeRua	45-54	F	mes	3	3	3	Rar	3	3	3	3	3	Vezes	3	3	Rar	Vezes	3	3	3	Vezes	4	3	Nunca
14:57:27	Ibirapuera	18-24	F	mes	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	3	3	3	Vezes	4	3	Nunca
14:57:28	VillaLobos	45-54	M	mes	3	3	2	Rar	4	2	4	2	4	Vezes	3	3	Rar	Rar	3	3	3	Rar	4	2	Nunca
14:57:29	JKIguatemi	25-34	F	ano	3	3	2	Vezes	4	1	4	2	4	Vezes	3	3	Rar	Rar	2	2	3	Rar	3	2	Nunca
14:57:30	PatioPaulista	25-34	F	mais	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	4	3	3	Vezes	4	3	Rar
14:57:31	Morumbi	55-64	F	mes	3	3	3	Rar	3	3	2	3	3	Vezes	3	3	Rar	Vezes	3	4	3	Vezes	4	3	Nunca
14:57:32	Aricanduva	45-54	M	mes	3	3	3	Vezes	3	3	3	4	3	Vezes	3	3	Rar	Vezes	4	3	4	Vezes	4	3	Nunca
14:57:33	CidadeSaoPaulo	45-54	F	mes	3	3	2	Vezes	4	2	4	2	4	Vezes	3	3	Rar	Vezes	2	2	3	Rar	3	2	Nunca
14:57:34	Interlagos	65+	F	ano	3	3	2	Vezes	4	2	4	2	4	Vezes	3	3	Rar	Vezes	3	2	3	Rar	3	2	Nunca
14:57:35	LojaDeRua	25-34	NI	mes	2	1	2	Freq	3	3	3	3	3	Vezes	4	2	Vezes	Freq	3	3	4	Vezes	4	3	Nunca
14:57:36	AnaliaFranco	35-44	M	mais	3	3	3	Rar	2	4	1	5	1	Vezes	4	2	Vezes	Freq	5	4	4	Freq	4	4	Rar
14:57:37	Eldorado	45-54	M	mes	3	3	2	Vezes	5	2	4	2	4	Vezes	2	3	Rar	Rar	2	2	3	Rar	4	2	Nunca
14:57:38	MarketPlace	65+	F	mais	3	3	3	Vezes	4	2	4	2	4	Vezes	3	3	Rar	Vezes	3	3	3	Vezes	4	2	Nunca
14:57:39	IguatemiSP	45-54	M	ano	3	3	2	Vezes	4	2	4	2	4	Vezes	3	3	Rar	Rar	2	2	3	Rar	4	2	Nunca
14:57:40	PatioPaulista	35-44	M	ano	3	3	2	Rar	5	2	4	2	5	Vezes	2	4	Rar	Rar	2	2	3	Nunca	3	2	Nunca
14:57:41	PatioPaulista	65+	F	ano	3	3	2	Vezes	4	2	4	2	4	Vezes	3	3	Rar	Rar	2	1	3	Nunca	3	1	Nunca
14:57:42	Higienopolis	65+	F	mes	3	3	2	Rar	4	2	4	2	5	Vezes	2	4	Rar	Rar	3	3	3	Vezes	4	2	Nunca
14:57:43	Outro	55-64	F	ano	3	3	3	Vezes	2	4	2	5	2	Vezes	4	2	Vezes	Freq	5	4	4	Freq	4	5	Rar
14:57:44	Morumbi	55-64	F	ano	3	3	2	Vezes	4	2	4	2	4	Vezes	2	3	Nunca	Rar	3	3	3	Rar	3	2	Nunca
14:57:45	MetroTatuape	55-64	NI	ano	3	3	2	Vezes	4	2	4	2	4	Vezes	2	4	Nunca	Rar	1	1	2	Nunca	4	1	Nunca
14:57:51	Aricanduva	18-24	F	ano	3	3	3	Vezes	3	3	2	4	3	Vezes	3	3	Vezes	Vezes	4	3	4	Vezes	4	3	Nunca
14:57:52	MarketPlace	65+	F	mes	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	4	3	4	Vezes	4	3	Rar
14:57:53	MetroTatuape	25-34	M	mes	3	3	2	Vezes	4	2	4	2	5	Vezes	2	4	Nunca	Rar	2	1	3	Nunca	3	1	Nunca
14:57:54	AnaliaFranco	25-34	M	ano	2	2	2	Freq	3	3	3	3	3	Vezes	4	2	Freq	Freq	4	3	4	Vezes	4	3	Nunca
14:57:55	LojaDeRua	55-64	F	mais	3	3	2	Vezes	4	1	4	2	4	Vezes	3	3	Rar	Rar	3	2	3	Rar	4	2	Nunca
14:57:56	PatioPaulista	25-34	M	ano	3	3	2	Vezes	4	1	4	2	5	Vezes	3	4	Rar	Rar	2	3	3	Rar	3	2	Nunca
14:57:57	JKIguatemi	45-54	F	ano	3	3	2	Vezes	4	2	4	2	4	Vezes	3	4	Rar	Rar	2	2	3	Rar	4	2	Nunca
14:57:58	Interlagos	55-64	F	ano	3	3	2	Vezes	4	2	4	2	4	Vezes	2	3	Rar	Rar	2	2	3	Rar	4	2	Nunca
14:57:59	Aricanduva	35-44	M	ano	3	3	3	Rar	2	3	2	4	3	Vezes	3	3	Rar	Vezes	3	3	3	Vezes	4	3	Nunca
14:58:00	Aricanduva	25-34	F	ano	3	3	2	Rar	4	2	4	2	4	Vezes	3	3	Rar	Vezes	3	3	3	Rar	3	2	Nunca
14:58:01	Morumbi	25-34	M	mes	3	3	3	Rar	3	3	2	4	3	Vezes	3	3	Rar	Vezes	4	4	4	Freq	4	3	Nunca
14:58:02	Morumbi	45-54	M	ano	4	3	2	Rar	4	2	4	2	4	Vezes	2	4	Rar	Rar	2	2	2	Nunca	3	2	Nunca
14:58:03	Eldorado	18-24	F	mes	3	3	3	Vezes	1	5	1	5	1	Vezes	4	2	Vezes	Freq	5	5	4	Sempre	4	4	Rar
14:58:04	Interlagos	25-34	F	ano	3	3	3	Vezes	1	5	1	5	2	Vezes	4	2	Vezes	Freq	5	4	4	Freq	4	4	Rar
14:58:05	D&D	18-24	M	mes	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Rar	4	3	4	Vezes	4	3	Nunca
14:58:06	MarketPlace	18-24	F	mes	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	4	3	4	Vezes	4	3	Nunca
14:58:08	Ibirapuera	45-54	M	mes	3	3	2	Vezes	4	2	4	2	5	Vezes	3	3	Rar	Vezes	2	2	3	Rar	4	2	Nunca
14:58:09	MetroTatuape	25-34	F	mes	3	3	3	Rar	2	4	2	4	2	Vezes	4	2	Vezes	Freq	5	4	4	Freq	4	4	Rar
14:58:10	IguatemiSP	35-44	M	mes	3	3	3	Vezes	3	3	2	4	3	Vezes	3	3	Rar	Vezes	4	4	4	Vezes	4	3	Nunca
14:58:11a	Bourbon	18-24	M	ano	3	4	2	Vezes	1	5	1	3	1	Freq	4	4	Vezes	Vezes	5	5	5	Freq	4	4	Nunca
14:58:11b	CidadeSaoPaulo	65+	M	mes	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	4	3	4	Vezes	4	3	Nunca
14:58:12	CidadeSaoPaulo	45-54	M	mais	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	3	3	4	Vezes	4	3	Nunca
14:58:13	MetroTatuape	45-54	F	ano	3	3	2	Vezes	5	1	4	2	4	Vezes	2	4	Nunca	Rar	1	1	3	Nunca	3	1	Nunca
14:58:14	Outro	25-34	F	mes	3	3	2	Rar	4	2	4	2	4	Vezes	2	3	Rar	Vezes	3	3	3	Rar	4	2	Nunca
14:58:15	Aricanduva	25-34	F	ano	3	3	3	Rar	3	3	2	4	3	Vezes	3	3	Rar	Rar	4	3	3	Vezes	4	3	Nunca
14:58:16	CenterNorte	25-34	F	mais	3	3	3	Rar	2	4	1	4	2	Vezes	4	2	Vezes	Freq	5	5	4	Freq	4	4	Rar
14:58:18	Morumbi	65+	F	ano	3	3	2	Vezes	4	2	4	2	4	Vezes	2	3	Rar	Rar	3	3	3	Vezes	4	2	Nunca
14:58:19	Eldorado	25-34	F	ano	3	3	3	Rar	3	3	2	4	3	Vezes	3	3	Rar	Vezes	4	4	3	Freq	4	3	Nunca
14:58:20	Bourbon	18-24	M	mes	3	3	3	Vezes	1	5	1	4	2	Vezes	4	2	Freq	Freq	5	5	4	Freq	4	4	Rar
14:58:21	JKIguatemi	25-34	F	ano	2	2	2	Freq	3	3	3	4	3	Vezes	4	2	Vezes	Freq	4	3	4	Vezes	4	3	Nunca
14:58:22	IguatemiSP	18-24	M	ano	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	3	3	4	Vezes	4	3	Nunca
14:58:23	CidadeSaoPaulo	35-44	F	ano	3	3	3	Vezes	1	5	1	4	1	Vezes	4	2	Vezes	Freq	5	5	4	Freq	4	5	Rar
14:58:24	Bourbon	35-44	F	ano	3	3	1	Vezes	4	2	4	2	4	Vezes	2	4	Nunca	Rar	1	2	3	Nunca	3	1	Nunca
14:58:25	MetroTatuape	45-54	M	mes	3	3	3	Vezes	1	4	1	5	1	Vezes	4	2	Vezes	Freq	4	4	4	Freq	4	5	Rar
14:58:26	AnaliaFranco	18-24	F	ano	3	3	3	Vezes	3	3	3	4	3	Vezes	3	3	Rar	Vezes	3	3	3	Vezes	4	3	Rar
14:58:27	Higienopolis	55-64	M	mes	3	3	2	Vezes	4	2	4	3	4	Vezes	3	3	Rar	Rar	3	3	3	Rar	4	2	Nunca
14:58:28	Outro	55-64	M	ano	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	3	3	4	Vezes	4	3	Nunca
14:58:29	JKIguatemi	25-34	F	ano	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	3	3	3	Vezes	4	3	Nunca
14:58:30	IguatemiSP	35-44	F	mes	3	3	3	Vezes	1	5	1	5	2	Vezes	4	2	Vezes	Freq	5	4	4	Freq	4	5	Rar
14:58:31	AnaliaFranco	45-54	M	mais	3	3	2	Vezes	4	2	4	2	4	Vezes	2	4	Nunca	Rar	3	2	3	Rar	3	2	Nunca
14:58:32	VillaLobos	35-44	F	mes	3	3	2	Rar	4	2	4	2	4	Vezes	2	3	Rar	Rar	2	3	3	Rar	4	2	Nunca
14:58:38	Aricanduva	18-24	M	mais	3	3	3	Rar	2	4	2	5	2	Vezes	4	2	Freq	Freq	5	5	4	Freq	4	4	Rar
14:58:39	PatioPaulista	35-44	M	mes	3	3	3	Rar	3	3	3	3	3	Vezes	3	3	Rar	Vezes	4	3	3	Vezes	4	3	Nunca
14:58:40	Eldorado	18-24	F	ano	3	3	3	Vezes	3	3	2	4	3	Vezes	3	3	Rar	Vezes	3	3	3	Vezes	4	3	Nunca
14:58:41	Higienopolis	25-34	F	mais	3	3	3	Vezes	3	3	2	3	3	Vezes	3	3	Rar	Vezes	4	3	3	Vezes	4	3	Nunca
14:58:42	VillaLobos	35-44	F	ano	3	3	2	Vezes	4	2	4	2	4	Vezes	2	4	Nunca	Rar	2	1	2	Nunca	3	1	Nunca
14:58:43	Ibirapuera	25-34	M	ano	3	3	3	Vezes	2	4	1	5	1	Vezes	4	2	Vezes	Freq	5	5	4	Sempre	4	5	Rar
14:58:44	Ibirapuera	45-54	NI	ano	2	1	2	Freq	3	3	3	3	3	Vezes	4	2	Vezes	Freq	4	3	4	Vezes	4	3	Nunca
14:58:45	JKIguatemi	55-64	F	ano	3	3	3	Rar	2	4	2	4	2	Vezes	4	2	Vezes	Freq	5	4	4	Freq	5	5	Rar
14:58:46	LojaDeRua	25-34	M	ano	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	4	3	4	Vezes	4	3	Nunca
14:58:47	VillaLobos	55-64	M	mes	3	3	2	Rar	4	2	4	2	4	Vezes	2	4	Nunca	Rar	2	2	3	Nunca	3	1	Nunca
14:58:48	IguatemiSP	35-44	F	ano	4	3	2	Rar	4	2	4	2	4	Vezes	3	3	Rar	Rar	3	2	3	Rar	3	2	Nunca
14:58:49	CenterNorte	25-34	M	ano	3	3	2	Vezes	4	2	4	2	4	Vezes	3	3	Rar	Vezes	3	2	3	Rar	3	2	Nunca
14:58:50	Outro	35-44	F	mes	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	4	3	4	Vezes	4	3	Nunca
14:58:51	Higienopolis	55-64	F	ano	1	1	2	Freq	3	3	3	3	3	Vezes	4	2	Vezes	Freq	3	3	5	Vezes	4	3	Nunca
14:58:52	Ibirapuera	25-34	F	mais	4	3	4	Rar	1	4	1	5	2	Vezes	4	2	Vezes	Freq	5	5	4	Sempre	4	5	Rar
14:58:53	Ibirapuera	55-64	F	ano	2	2	2	Freq	3	3	3	4	3	Vezes	4	2	Vezes	Freq	4	4	4	Vezes	4	3	Nunca
14:58:54	CidadeSaoPaulo	55-64	F	ano	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	4	3	3	Vezes	4	3	Nunca
14:58:55	Morumbi	18-24	M	mais	3	3	2	Vezes	4	2	4	2	4	Vezes	3	3	Rar	Rar	3	2	3	Rar	4	2	Nunca
14:58:56	Morumbi	25-34	M	mes	2	2	2	Freq	3	3	3	3	3	Vezes	4	2	Vezes	Vezes	4	3	5	Vezes	4	3	Nunca
14:59:01	Morumbi	55-64	F	mes	3	3	2	Vezes	3	3	3	4	3	Vezes	3	3	Rar	Vezes	4	3	3	Vezes	4	3	Nunca
14:59:02	JKIguatemi	45-54	NI	mes	3	3	2	Vezes	4	2	4	2	4	Vezes	2	4	Rar	Rar	2	2	3	Rar	4	2	Nunca
14:59:03	IguatemiSP	55-64	F	mes	2	1	2	Freq	3	3	3	3	3	Vezes	4	2	Vezes	Freq	4	3	4	Vezes	4	3	Rar
14:59:04	Eldorado	25-34	F	mes	3	3	2	Vezes	5	1	4	2	5	Vezes	3	3	Rar	Vezes	2	2	3	Rar	4	2	Nunca
14:59:05	Morumbi	45-54	F	ano	4	3	3	Rar	3	3	3	3	3	Vezes	3	3	Vezes	Vezes	4	3	3	Vezes	4	3	Nunca
14:59:06	VillaLobos	18-24	F	mes	3	3	2	Rar	4	2	4	2	4	Vezes	3	3	Rar	Vezes	3	3	3	Rar	4	2	Nunca
14:59:07	Bourbon	65+	M	mes	2	2	2	Freq	3	3	3	3	3	Vezes	4	2	Vezes	Vezes	4	3	4	Vezes	4	3	Nunca
14:59:08	Ibirapuera	55-64	F	mes	3	3	2	Rar	4	2	4	2	4	Vezes	3	3	Rar	Vezes	3	2	3	Rar	4	2	Nunca
14:59:09	Eldorado	18-24	M	ano	3	3	2	Vezes	4	2	4	2	4	Vezes	3	3	Rar	Vezes	3	3	3	Rar	4	2	Nunca
14:59:10	JKIguatemi	25-34	M	ano	3	3	3	Vezes	1	5	1	4	1	Vezes	4	2	Vezes	Freq	4	4	4	Freq	5	5	Rar
14:59:11	Morumbi	25-34	M	mes	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	4	3	4	Vezes	4	3	Nunca
14:59:12	Outro	25-34	F	ano	3	3	3	Vezes	2	4	2	5	2	Vezes	4	2	Vezes	Freq	4	4	4	Freq	4	4	Rar
14:59:13	Aricanduva	55-64	M	mes	3	3	2	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	3	3	3	Vezes	4	3	Nunca
14:59:14	Ibirapuera	65+	M	mes	3	3	2	Vezes	4	2	4	2	4	Vezes	3	3	Rar	Rar	3	3	3	Rar	3	2	Nunca
14:59:15	JKIguatemi	35-44	F	mes	3	3	3	Rar	3	3	3	3	3	Vezes	3	3	Rar	Vezes	3	3	3	Vezes	4	3	Nunca
14:59:16	AnaliaFranco	25-34	NI	mes	3	3	4	Rar	2	4	1	5	2	Vezes	4	2	Vezes	Freq	5	5	4	Freq	4	4	Rar
13:28:56d	AnaliaFranco	25-34	M	mais	4	3	2	Freq	2	4	2	5	2	Rar	4	3	Vezes	Vezes	5	4	4	Vezes	4	5	Rar
